comment_text,like_count,reply_count,emojis,text_sentiment,emoji_sentiment
"Dinləyəndə mənə də xəbər eləyin ""kimsə şərhinizi bəyəndi "" bildirişini görən kimi gələcəm",528,33,😶,Neutral,Negative
Bu gün mənə bu mahnını Şövkət Ələkbərova yazmamış olsaydı mən sənə yazardım dedi. Bir mahnını heç bu qədər gözəl xatırlayacağımı düşnməzdim.,2,1,❤,Neutral,Positive
"Hüsnünə heç bir söz olmaz
Gözlərin yaman gözəldir",0,0,❤,Neutral,Positive
"sanıram dünya mənimdir, 'gözümə' -'gözün' dəyəndə ",4,0,🫠,Neutral,Positive
Sizin mahnılarınızı çox sevirəm ancaq indi siz…,2,0,❤,Neutral,Positive
Azərbaycanım,3,0,❤,Neutral,Positive
Normalda Azerbaycan mahnıları sevmərəm helə indikiləri heç amma bu ve bunun kimi bəzi mahnılar var ki çox sevirəmdə,7,0,😍,Neutral,Positive
Yeni nəsillər qiymətini bilməz ,0,0,😢,Neutral,Negative
"Şövkət Ələkbərova, İbrahim Topçubaşov, Ənvər Əlibəyli.",1,1,👏,Neutral,Positive
"Könüldən ifa hiss edilir, indiki mahnılar kimi yapmacığ deyil",0,0,🩵,Neutral,Positive
Bu səsi musiqi duyumu olanlar başa düşər,36,3,😊,Neutral,Positive
Azərbaycan musiqilərindən sadəcə bu musqini sevirəm ,0,0,❤,Neutral,Positive
"""Sənə mən yarim deyəndə""))",0,0,❤,Neutral,Positive
Əla,0,0,❤,Neutral,Positive
Ayda comment yazmamışam e nə uzun vaxtdı dinləyirəm.,0,0,❤,Neutral,Positive
Gözəl mahnıdı,0,0,❤,Neutral,Positive
Bəyəndim səsinə qurban,0,0,🫶,Neutral,Positive
Bir sözlə mükəmməl,1,0,❤,Neutral,Positive
Möhtəşəmm,5,0,❤,Neutral,Positive
Bü qara dünya mənimdə,0,0,😢,Neutral,Negative
