comment_text,like_count,reply_count,emojis
"Dinləyəndə mənə də xəbər eləyin ""kimsə şərhinizi bəyəndi "" bildirişini görən kimi gələcəm",528,33,😶
İnşallah qonşu bu mahnını bəyənmiş olar :),602,22,
Azərbaycan torpağı bü cür istedadlar yetişdirən torpağlardır. Hər 10 nəfərdən birinin gözəl sesi olur.,103,1,
Bu gün mənə bu mahnını Şövkət Ələkbərova yazmamış olsaydı mən sənə yazardım dedi. Bir mahnını heç bu qədər gözəl xatırlayacağımı düşnməzdim.,2,1,❤
"2013: çövür ay ataa bu nədiye qulaq asırsız

2024: ata o mahnıyı qoş...",54,1,
Allah rəhmət eləsin dahi Azərbaycan müğənnisi Rəşid Behbudov  Şövkət Ələkbərova,3,0,
Təkrarolunmaz bir ifa. Allah rəhmət eləsin görkəmli müğənnimizə.,139,0,
"Musiqi, ifa, ifaçı gözəl təbii biz nələr itirmişik hani o illər Allah rəhmət eləsin dahi senetkarı",0,0,
"Mən Mən Azərbaycanı çox sevirəm, yaşasın qardaşlıq",2,0,
"Hüsnünə heç bir söz olmaz
Gözlərin yaman gözəldir",0,0,❤
Allah sənə rəhmət eləsin Dahi Sənətkarımız Şövkət Ələkbərova hər dəfə sizə qulaq asanda ruhum dincəlir,3,0,
"sanıram dünya mənimdir, 'gözümə' -'gözün' dəyəndə ",4,0,🫠
Mən İran türküyəm və bu mahnılarla böyümüşam. qulaq asanda bütün xatiralar gəlir gözümün qabğına.,28,0,
Sizin mahnılarınızı çox sevirəm ancaq indi siz…,2,0,❤
"Azərbaycanın Musiqimizin Zeynəb Xanlarova Şövkət Sara Flora İlhamə  rübabə Elmira xanımları kimi əsl qadın sənətkarları və güclü səsləri olub.Onların hərəsinin öz ilkə imzası,pz üslubu,səsi,oxuma tərzi,geyim tərzi,danışıq tərzi,və mpcüzəli əsərləri var.",4,0,
Biz 03 noyabr 2024 də qulaq asırıq. Allah rəhmət eləsin,16,0,
Çox yaxşı müsiqidir,4,0,
Bravo .ALLAH rəhmət eləsin,5,0,
Möhtəşəm  musiqilər.,4,0,
"Necə gözəl , səlist , dialektə , şivəyə maraqlı notlar qatan sənətkar. geyin kejin al xara qız ))))",0,0,
ALLAH rəhmət eləsin sənə dahi senətkar,6,0,🤲
Azərbaycanım,3,0,❤
