id,text
1,"Pərvərdigara, bu nə dövrdür?"
2,"Bu nə zamandır belə?"
3,"Nə at çapmağın dəyəri qalıb, nə də tüfəng atmağın hörməti!"
4,"Səhərdən axşama, axşamdan səhərə qədər qadın kimi alaçığın içində dustaq oturmalı olursan."
5,"Dövlət haradan olsun, pul haradan gəlsin?"
6,"Ah, keçmiş günlər."
7,"Keçmiş dövrlər."
8,"Hər həftə, hər ay bir karvan basmaq olurdu, bir ordu dağıtmaq olurdu."
9,"İndi isə nə karvan basmaq mümkündür, nə də ordu dağıtmaq."
10,"Nə qızılbaş döyüşü var, nə osmanlı döyüşü."
11,"Əgər qoşuna getmək istəsən də, ancaq yarıçılpaq ləzgilərin üstünə getməli olursan."
12,"Min bir əziyyətlə dağların arasından birini çıxarsan belə, əlinə bir kisə, bir kürkdən başqa heç nə keçmir."
13,"Hanı o qızılbaş–osmanlı döyüşləri ki, bütün Qarabağı qızıl-gümüşə bürümüşdü?"
14,"Aslandüz yürüşündən bu günə qədər hələ də neçə-neçə ev varlı yaşayır."
15,"Əmiraslan bəyin nəvələri hələ dünən Ağcabədi bazarında babalarının osmanlılardan qazanıb gətirdiyi gümüş əşyaları satırdılar."
16,"Bir də elə bir döyüş olsun, hamıdan qabaqda dəstənin başında mən gedim."
17,"Elə bir igidlik göstərim ki, Rüstəm də dastanlarda eləsini göstərməyib."
18,"Mənim işim budur."
19,"Amma naçalnik məni çağırıb deyir ki, Heydər bəy, sakit otur, quldurluq etmə, yol kəsmə, oğurluğa getmə."
20,"Mən də dedim ki, naçalnik, biz də bu işlərə meyilli deyilik, amma sizin borcunuzdur ki, bizim kimi nəcabətli adamlara halal bir dolanışıq yolu göstərəsiniz."
21,"Qulaq asın, mənə nə cavab verdi."
22,"Heydər bəy, torpaq ək, bağ becər, alver elə."
23,"Guya mən Banazorlu erməniyəm ki, səhərdən axşama qədər kotan sürüm?"
24,"Ya ləmbəranlıyam ki, qurd bəsləyim?"
25,"Ya da ləkəm ki, kənd-kənd gəzib xırda ticarət edim?"
26,"Dedim ki, naçalnik, Cavanşir elindən heç vaxt nə kotançı, nə də xırdavatçı çıxmayıb."
27,"Atam Qurban bəy bu işi görməyib."
28,"Mən də onun oğlu Heydər bəyəm və mən də etməyəcəyəm."
29,"O isə qaşlarını çatıb üzünü çevirdi və atını sürüb getdi."
30,"Allah bilir, yenə nə oldu, gəlmədi."
31,"Gecə yarı keçib, hələ də görünmür."
32,"Sübh açılır, dan yeri ağarıb."
33,"Bilmirəm nə edim."
34,"Bir az da gözləyim, əgər gəlməsə, çarə yoxdur, alaçığa qayıdım."
35,"Yox, gəlmir."
36,"Yəqin ki, artıq gəlməyəcək."
37,"Şübhə yoxdur, bu gecə də gəlməyəcək."
38,"Görəsən yenə hansı dəli ilə rastlaşıb, aldadılıb at və mal oğurluğuna gedib?"
39,"Yoxsa bu vaxta qədər çoxdan gəlməli idi."
40,"Mən bunun öhdəsindən gələ bilmirəm."
41,"Əgər bu dəfə də onu tanısalar, yenə qaçaq düşəcək və mənim həyatımı zəhər edəcək."
42,"Yenə iki il məni evdə dustaq saxlayacaq."
43,"Yox, vallah, daha gözləməyəcəyəm."
44,"Onun fikri budur ki, atam evində mənim saçımı ağartsın."
45,"Eh, könlümdən nə fikirlər keçir."
46,"Şübhəsiz, gecikməsinin başqa səbəbi var."
47,"Kaş indi bu kolun arxasında dayanıb eşidəydi ki, mən deyirəm, gedərəm başqasına."
48,"Görəsən inanardımı?"
49,"Əlbəttə ki, inanmazdı, çünki bilir ki, yalan danışıram."
50,"Hirslənmişəm və ağlıma gələni deyirəm."
51,"Ay, bir səs gəlir."
