id,text
1,"Pərvərdigara, bu necə əsrdir?"
2,"Bu necə zəmanədir?"
3,"Nə at çapmağın qiyməti var, nə tüfəng atmağın hörməti var!"
4,"Sabahdan axşamadək, axşamdan sabahadək arvad kimi gərək dustaq alaçığın içində oturasan."
5,"Dövlət dəxi haradan olsun, pul haradan olsun!?"
6,"Ah, keçən günlər!"
7,"Keçən dövrlər!"
8,"Hər həftədə, hər ayda bir karvan çapmaq olurdu, bir ordu dağıtmaq olurdu."
9,"İndi nə karvan çapmaq olur, nə ordu dağıtmaq olur!"
10,"Nə qızılbaş döyüşü var, nə osmanlı döyüşü var!"
11,"Əgər qoşuna getmək istəsən də gərək ancaq çılpaq ləzgilərin üstünə gedəsən."
12,"Əgər yüz min zəhmətlə birisini dağların dəlik-deşiyindən çıxarsan, bir dağarcıq, bir kürkdən başqa əlinə bir zad düşməyəcək."
13,"Hanı qızılbaş və osmanlı döyüşü ki, tamam Qarabağı qızıl-gümüşə boyadı?"
14,"Aslandüzün çapqınından indiyədək də çox evlər abaddır."
15,"Əmiraslan bəyin övladı genə dünən də Ağcabədi bazarında dədələri osmanlıda kəsb etdiyi gümüş rəxtlərdən satırdılar."
16,"Bir belə döyüş olsun, hamıdan irəli dəstə başında gedən mən ollam!"
17,"Bir hünər göstərrəm ki, Rüstəmi-dastan da göstərməmiş ola!"
18,"Mənim işim budur!"
19,"Nə ki, naçalnik məni çağırıb deyir: Heydər bəy, rahat dur-otur, quldurluq etmə, yol kəsmə, oğurluğa getmə!"
20,"Peşman oldum dedim ki, naçalnik, biz də bu əmrə rağib deyilik, amma sizə lazımdır ki, bizim kimi nəcib kimsənələrə bir çörək yolu göstərəsiniz."
21,"Qulaq as, gör mənə nə cavab verdi."
22,"Heydər bəy, cüt ək, bağ becər, alış-veriş elə."
23,"Guya ki, mən Banazor ermənisiyəm ki, gərək gündüz axşamadək kotan sürəm."
24,"Ya ləmbəranlıyam ki, qurd bəsləyəm."
25,"Və ya ləkəm ki, kəndlərdə çərçilik edəm!"
26,"Ərz elədim ki, naçalnik, heç vaxt Cavanşirdən kotançı və gümçü görükməyib!"
27,"Mənim atam Qurban bəy onu etməyib."
28,"Mən ki, onun oğlu Heydər bəyəm, mən də etməyəcəyəm!"
29,"Qaş-qabaqlı üzün çevirib atın sürdü."
30,"Allah, görəsən genə nə oldu, gəlmədi!"
31,"Gecə yarıdan ötübdür, hələ indiyədək görükmür."
32,"Dan yeri ağarıb, sabah indicə açılar."
33,"Bilmirəm necə edim?"
34,"Bir azacıq da gözətləyim, əgər gəlməsə, çarə yoxdur, gərək alaçığa qayıdam."
35,"Xeyir, gəlmir!"
36,"Yəqin ki, dəxi gəlməz."
37,"Şəkk yoxdur ki, gəlməyəcək!"
38,"Görəsən genə hansı dəli qudurmuşa rast gəldi, tovlayıb at, mal oğurluğuna götürüb getdi."
39,"Yoxsa bu vaxtadək gərək idi gələydi."
40,"Öhdəsindən gələ bilmirəm."
41,"Əgər bu səfər də tanıyalar, gərək genə təzədən qaçaq ola, mənim günümü qara edə."
42,"Genə iki il evdə məni dustaq eyliyə."
43,"Vallah, dəxi gözləmənəm!"
44,"Onun fikri budur ki, atam evində mənim birçəyimi ağarda."
45,"Eh, nə vəsvəsələr gəlir könlümə!"
46,"Şəksiz, yubanmağına başqa səbəb var."
47,"Ax, indi bu kolun dalında qulaq asıb eşidəydi ki, mən deyirəm: gedərəm özgəsinə."
48,"Görəsən inanardımı?"
49,"Əlbəttə inanmayacaqdır, çünki bilir, yalan deyirəm."
50,"Hövsələm daralıb, ağzıma gələni söyləyirəm."
51,"Bıy, şıqqıltı gəlir."
